iata_code,icao_code,ident,name,municipality,iso_country,continent,latitude_deg,longitude_deg,type,scheduled_service
UTK,,03N,Utirik Airport,Utirik Island,MH,OC,11.222219,169.851429,small_airport,yes
OCA,,07FA,Ocean Reef Club Airport,Key Largo,US,NA,25.325399,-80.274803,medium_airport,no
CSE,,0CO2,Crested Butte Airpark,Crested Butte,US,NA,38.851918,-106.928341,small_airport,no
CUS,,0NM0,Columbus Airport,Columbus,US,NA,31.823898,-107.629924,small_airport,no
JCY,,0TE7,LBJ Ranch Airport,Stonewall,US,NA,30.251801,-98.622498,small_airport,no
WLR,,13Z,Loring Seaplane Base,Loring,US,NA,55.601299,-131.636993,seaplane_base,no
NUP,PPIT,16A,Nunapitchuk Airport,Nunapitchuk,US,NA,60.905591,-162.440454,small_airport,yes
PTC,,16K,Port Alice Seaplane Base,Port Alice,US,NA,55.803,-133.597,seaplane_base,no
ICY,,19AK,Icy Bay Airport,Icy Bay,US,NA,59.966269,-141.660118,small_airport,no
PPV,,19P,Port Protection Seaplane Base,Port Protection,US,NA,56.3288,-133.610001,seaplane_base,yes
KKK,,1KC,Kalakaket Creek AS Airport,Kalakaket Creek,US,NA,64.4166256967,-156.820392609,small_airport,no
MHS,,1O6,Dunsmuir Muni-Mott Airport,Dunsmuir,US,NA,41.263199,-122.272003,small_airport,no
NIR,,1XA2,Chase Field Industrial Airport,Beeville,US,NA,28.362444,-97.661917,small_airport,no
GCT,,1Z1,Grand Canyon Bar Ten Airstrip,Littlefield,US,NA,36.257984,-113.231063,small_airport,no
ELW,,1Z9,Ellamar Seaplane Base,Ellamar,US,NA,60.893818,-146.704038,seaplane_base,no
LVD,,2AK,Lime Village Airport,Lime Village,US,NA,61.3591003418,-155.440002441,small_airport,no
HGZ,,2AK6,Hog River Airport,Hogatza,US,NA,66.176133,-155.684816,small_airport,no
OTN,,2IG4,Ed-Air Airport,Oaktown,US,NA,38.851782,-87.49987,small_airport,no
TLF,,2K5,Telida Airport,Telida,US,NA,63.393902,-153.268997,small_airport,no
BZT,,2TE0,Eagle Air Park,Brazoria,US,NA,28.982200622559,-95.579696655273,small_airport,no
HBH,,2Z1,Entrance Island Seaplane Base,Entrance Island,US,NA,57.412201,-133.43848,seaplane_base,no
FAK,,2Z6,False Island Seaplane Base,False Island,US,NA,57.5321998596,-135.212997437,seaplane_base,no
BYW,,38WA,Blakely Island Airport,Blakely Island,US,NA,48.579162,-122.823844,small_airport,yes
DRF,,3AK5,Drift River Airport,Kenai,US,NA,60.588901519800004,-152.162002563,small_airport,no
BDF,,3IS8,Rinkenberger Restricted Landing Area,Bradford,US,NA,41.230899810800004,-89.61569976810001,small_airport,no
TEH,,3T4,Tetlin Airport,Tetlin,US,NA,63.124618,-142.518005,small_airport,no
VRS,,3VS,Roy Otten Memorial Airfield,Versailles,US,NA,38.427799224854,-92.875198364258,small_airport,no
GDH,,3Z8,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,US,NA,59.7470016479,-158.875,seaplane_base,no
ATT,,4A2,Atmautluak Airport,Atmautluak,US,NA,60.866699,-162.272996,small_airport,yes
LIV,,4AK,Livengood Camp Airport,Livengood,US,NA,65.467,-148.6534,small_airport,no
PDB,,4K0,Pedro Bay Airport,Pedro Bay,US,NA,59.796925,-154.129994,small_airport,yes
KOZ,,4K5,Ouzinkie Airport,Ouzinkie,US,NA,57.942094,-152.464314,small_airport,yes
TNK,,4KA,Tununak Airport,Tununak,US,NA,60.569638,-165.246649,small_airport,yes
WHD,,4Z7,Hyder Seaplane Base,Hyder,US,NA,55.903324,-130.009975,seaplane_base,yes
MNT,,51Z,Minto Al Wright Airport,Minto,US,NA,65.147991,-149.368658,small_airport,yes
TKI,,57A,Tokeen Seaplane Base,Tokeen,US,NA,55.937099,-133.326996,seaplane_base,no
WKK,,5A8,Aleknagik / New Airport,Aleknagik,US,NA,59.2826004028,-158.617996216,medium_airport,yes
WFB,,5KE,Ketchikan Harbor Seaplane Base,Ketchikan,US,NA,55.349899,-131.677002,seaplane_base,yes
RFK,,5MS1,Rollang Field,Rolling Fork,US,NA,32.953543,-90.845144,small_airport,no
NNK,,5NK,Naknek Airport,Naknek,US,NA,58.735633,-157.02216,small_airport,no
BKF,,5Z9,Lake Brooks Seaplane Base,Katmai National Park,US,NA,58.554798,-155.776993,seaplane_base,yes
BCS,,65LA,Southern Seaplane Airport,Belle Chasse,US,NA,29.866078,-90.021608,small_airport,no
MMN,,6B6,Minute Man Air Field,Stow,US,NA,42.460298,-71.519031,small_airport,no
SPQ,,6CA3,Catalina Air-Sea Terminal Heliport,San Pedro,US,NA,33.7491989136,-118.275001526,heliport,no
TSS,,6N5,East 34th Street Heliport,New York,US,NA,40.742372,-73.972074,heliport,yes
NYS,,6N7,New York Skyports Inc Seaplane Base,New York,US,NA,40.735061,-73.972814,seaplane_base,yes
WYB,,78K,Yes Bay Lodge Seaplane Base,Yes Bay,US,NA,55.916302,-131.800995,seaplane_base,no
CWS,,78WA,Center Island Airport,Center Island,US,NA,48.490046,-122.831612,small_airport,yes
TEK,PAKA,7KA,Tatitlek Airport,Tatitlek,US,NA,60.871449,-146.690297,small_airport,yes
DUF,,7NC2,Pine Island Airport,Corolla,US,NA,36.252744,-75.785256,small_airport,no
SSW,,7WA5,Stuart Island Airpark,Friday Harbor,US,NA,48.673379,-123.175439,small_airport,yes
FOB,,82CL,Fort Bragg Airport,Fort Bragg,US,NA,39.472445,-123.795319,small_airport,no
PUL,,83Q,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,US,NA,47.734001159668,-122.64700317383,seaplane_base,no
CCD,,84CL,Century City Heliport,Los Angeles,US,NA,34.061015,-118.417344,heliport,no
WMK,,84K,Meyers Chuck Seaplane Base,Meyers Chuck,US,NA,55.739601,-132.255005,seaplane_base,no
AXB,,89NY,Maxson Airfield,Alexandria Bay,US,NA,44.312002,-75.90034,small_airport,no
REE,,8XS8,Reese Airpark,Lubbock,US,NA,33.590301513672,-102.03700256348,small_airport,no
WDN,,90WA,Waldron Airstrip,Eastsound,US,NA,48.71141,-123.018208,small_airport,yes
WWP,,96Z,Whale Pass Seaplane Float Harbor Facility,Whale Pass,US,NA,56.116299,-133.121994,seaplane_base,yes
CHU,PACH,9A3,Chuathbaluk Airport,Chuathbaluk,US,NA,61.579102,-159.216003,small_airport,yes
UGS,,9A8,Ugashik Airport,Ugashik,US,NA,57.523476,-157.396344,small_airport,no
JID,,9CA3,Recreation and Conference Center Heliport,City of Industry,US,NA,34.020472,-117.927396,heliport,no
PSQ,,9N2,Philadelphia Seaplane Base,Essington,US,NA,39.859001159668,-75.299598693848,seaplane_base,no
KLL,,9Z8,Levelock Airport,Levelock,US,NA,59.12606,-156.860906,small_airport,no
SGW,,A23,Saginaw Seaplane Base,Saginaw Bay,US,NA,56.886299,-134.158005,seaplane_base,no
WTL,,A61,Tuntutuliak Airport,Tuntutuliak,US,NA,60.351243,-162.654476,small_airport,yes
TWA,,A63,Twin Hills Airport,Twin Hills,US,NA,59.074713,-160.274992,small_airport,yes
KCQ,,A79,Chignik Lake Airport,Chignik Lake,US,NA,56.255001,-158.774994,small_airport,yes
AAD,HCAD,AAD,Adado Airport,Adado,SO,AF,6.095802,46.6375,small_airport,no
ABP,,ABP,Atkamba Airport,Atkamba Mission,PG,OC,-6.06462,141.095173,small_airport,no
ACM,,ACM,Arica Airport,Arica,CO,SA,-2.143713,-71.75935,small_airport,no
ALV,,AD-ALV,Andorra la Vella Heliport,Escaldes-Engordany,AD,EU,42.511227,1.53365,heliport,no
ADV,,ADV,El Daein Airport,El Daein,SD,AF,11.4023,26.1186,small_airport,no
DST,,AE-0237,Dubai Seaplane Terminal,,AE,AS,25.263,55.272,seaplane_base,no
AEE,,AEE,Adareil Airport,Adar,SS,AF,10.053611,32.959444,small_airport,no
AEQ,,AEQ,Ar Horqin Airport,Chifeng,CN,AS,43.908407,120.15099,small_airport,no
AFK,,AFK,Kondavattavana Tank Seaplane Base,Ampara,LK,AS,7.284,81.644,seaplane_base,no
BBQ,TAPB,AG-0001,Burton-Nibbs International Airport,Codrington,AG,NA,17.621194,-61.798347,medium_airport,yes
AFT,AGAF,AGAF,Afutara Aerodrome,Bila,SB,OC,-9.191389,160.948611,small_airport,no
RNA,AGAR,AGAR,Ulawa Airport,Arona,SB,OC,-9.86054358262,161.979546547,small_airport,no
ATD,AGAT,AGAT,Uru Harbour Airport,Atoifi,SB,OC,-8.87333,161.011002,small_airport,no
VEV,AGBA,AGBA,Barakoma Airport,Barakoma,SB,OC,-7.912779808044434,156.70599365234375,small_airport,no
BPF,AGBT,AGBT,Batuna Aerodrome,Batuna Mission Station,SB,OC,-8.56202777778,158.119305556,small_airport,no
GEF,AGEV,AGEV,Geva Airport,Liangia,SB,OC,-7.575829982757568,156.5970001220703,small_airport,no
AGG,,AGG,Angoram Airport,Angoram,PG,OC,-4.057077,144.073841,small_airport,no
AKS,AGGA,AGGA,Gwaunaru'u Airport,Auki,SB,OC,-8.70257,160.682007,small_airport,yes
BNY,AGGB,AGGB,Bellona/Anua Airport,Anua,SB,OC,-11.302222222200001,159.798333333,small_airport,yes
CHY,AGGC,AGGC,Choiseul Bay Airport,Choiseul Bay,SB,OC,-6.711944,156.396111,small_airport,yes
BAS,AGGE,AGGE,Ballalae Airport,Ballalae,SB,OC,-6.990745,155.886656,small_airport,yes
FRE,AGGF,AGGF,Fera/Maringe Airport,Fera Island,SB,OC,-8.1075,159.576996,small_airport,yes
HIR,AGGH,AGGH,Honiara International Airport,Honiara,SB,OC,-9.428,160.054993,large_airport,yes
MBU,AGGI,AGGI,Babanakira Airport,Mbambanakira,SB,OC,-9.7475,159.839005,small_airport,no
AVU,AGGJ,AGGJ,Avu Avu Airport,Avu Avu,SB,OC,-9.868333,160.410556,small_airport,no
IRA,AGGK,AGGK,Ngorangora Airport,Kirakira,SB,OC,-10.449700355500001,161.897994995,small_airport,yes
SCZ,AGGL,AGGL,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,OC,-10.7203,165.794998,small_airport,yes
MUA,AGGM,AGGM,Munda Airport,Munda,SB,OC,-8.32797,157.263,medium_airport,yes
GZO,AGGN,AGGN,Nusatupe Airport,Gizo,SB,OC,-8.09778022766,156.863998413,small_airport,yes
MNY,AGGO,AGGO,Mono Airport,Stirling Island,SB,OC,-7.41694,155.565002,small_airport,yes
PRS,AGGP,AGGP,Parasi Airport,Parasi,SB,OC,-9.641670227050781,161.4250030517578,small_airport,no
RNL,AGGR,AGGR,Rennell/Tingoa Airport,Rennell Island,SB,OC,-11.55,160.062778,small_airport,yes
EGM,AGGS,AGGS,Sege Airport,Sege,SB,OC,-8.57889,157.876007,small_airport,no
NNB,AGGT,AGGT,Santa Ana Airport,Santa Ana Island,SB,OC,-10.847994,162.454108,small_airport,yes
RUS,AGGU,AGGU,Marau Airport,Marau,SB,OC,-9.86167,160.824997,small_airport,yes
VAO,AGGV,AGGV,Suavanao Airport,Suavanao,SB,OC,-7.58556,158.731003,small_airport,yes
XYA,AGGY,AGGY,Yandina Airport,Yandina,SB,OC,-9.092816,159.21841,small_airport,yes
AGK,,AGK,Kagua Airport,Kagua,PG,OC,-6.396388888890001,143.853611111,small_airport,no
KGE,AGKG,AGKG,Kaghau Airport,Kagau Island,SB,OC,-7.3305,157.585,small_airport,yes
KUE,AGKU,AGKU,Kukudu Airport,Kolombangara Island,SB,OC,-8.0262,156.94783,small_airport,no
KWS,AGKW,AGKW,Kwailabesi Airport,Kwailabesi,SB,OC,-8.360508,160.775127,small_airport,no
LLM,AGLM,AGLM,Lomlom Airport,Lomlom,SB,OC,-10.296828,166.327322,small_airport,no
NAZ,AGNA,AGNA,Nana Airport,Star Harbor,SB,OC,-10.6758,162.2049,small_airport,no
MHM,AGOB,AGOB,Manaoba Airport,Manaoba,SB,OC,-8.325008,160.80051,small_airport,yes
GTA,AGOK,AGOK,Gatokae Aerodrome,Gatokae,SB,OC,-8.738358,158.202836,small_airport,yes
RIN,AGRC,AGRC,Ringi Cove Airport,Ringi Cove,SB,OC,-8.12639045715332,157.14300537109375,small_airport,no
RBV,AGRM,AGRM,Ramata Airport,Ramata,SB,OC,-8.168060302734375,157.64300537109375,small_airport,yes
TLG,AGTI,AGTI,Tulaghi Heliport,Tulaghi Island,SB,OC,-9.108,160.149166667,heliport,no
AHY,,AHY,Ambatolhy Airport,Ambatolahy,MG,AF,-20.015833333299998,45.535,small_airport,no
AIC,,AIP,Ailinglaplap Airok Airport,Bigatyelang Island,MH,OC,7.279422,168.8257,small_airport,no
